Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,AAPL,GOOG,AAPL,GOOG,AAPL,GOOG,AAPL,GOOG,AAPL,GOOG
Date,,,,,,,,,,
2025-09-09,234.35,239.94,238.78,240.59,233.36,233.38,237.0,234.19,66313900.0,22854800.0
2025-09-10,226.79,239.56,232.42,242.08,225.95,238.11,232.19,239.25,83440800.0,19990100.0
2025-09-11,230.03,240.78,230.45,242.57,226.65,236.58,226.88,240.14,50208600.0,21308600.0
2025-09-12,234.07,241.38,234.51,242.423,229.02,238.5,229.22,240.8,55824200.0,14521900.0
2025-09-15,236.7,251.76,238.19,252.75,235.03,244.98,237.0,245.14,42699500.0,29935200.0
2025-09-16,238.15,251.42,241.22,253.23,236.32,249.715,237.18,252.33,63421100.0,24493500.0
2025-09-17,238.99,249.85,240.1,251.95,237.73,246.58,238.97,251.46,46508000.0,20491300.0
2025-09-18,237.88,252.33,241.2,254.14,236.65,250.11,239.97,251.86,44249600.0,21166400.0
2025-09-19,245.5,255.24,246.3,256.7,240.21,252.068,241.23,253.4,163741300.0,41616800.0
2025-09-22,256.08,252.88,256.64,256.31,248.12,250.81,248.3,254.78,105517400.0,20079000.0
2025-09-23,254.43,252.34,257.34,254.77,253.58,251.09,255.88,253.655,60275200.0,17521100.0
2025-09-24,252.31,247.83,255.74,252.96,251.04,247.22,255.22,252.15,42303700.0,16958500.0
2025-09-25,256.87,246.57,257.17,247.315,251.71,241.65,253.21,244.84,55202100.0,17379800.0
2025-09-26,255.46,247.18,257.6,250.12,253.78,246.64,254.1,247.785,46076300.0,16594600.0
2025-09-29,254.43,244.36,255.0,251.648,253.01,243.2,254.56,248.275,40127700.0,23157200.0
2025-09-30,254.63,243.55,255.92,243.675,253.11,239.571,254.86,243.06,37704300.0,22541200.0
2025-10-01,255.45,245.54,258.79,247.15,254.93,239.2,255.04,241.18,48713900.0,23967700.0
2025-10-02,257.13,246.43,258.18,247.635,254.15,243.105,256.58,245.64,42630200.0,20657500.0
2025-10-03,258.02,246.45,259.24,247.118,253.95,242.47,254.67,245.23,49155600.0,19941400.0
2025-10-06,256.69,251.51,259.07,252.2,255.05,245.69,257.99,245.78,44664100.0,18309000.0
2025-10-07,256.48,247.13,257.4,251.55,255.43,246.81,256.81,248.93,31955800.0,13811200.0
2025-10-08,258.06,245.46,258.52,247.26,256.11,245.09,256.52,246.25,36465000.0,13998305.0
