Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT
Date,,,,,,,,,,
2025-09-09,234.35,498.41,238.7805,502.25,233.36,497.7,237.0,501.43,66313918.0,14410542.0
2025-09-10,226.79,500.37,232.42,503.2299,225.95,496.72,232.185,502.98,83440810.0,21611816.0
2025-09-11,230.03,501.01,230.45,503.17,226.65,497.88,226.875,502.25,50208578.0,18881608.0
2025-09-12,234.07,509.9,234.51,512.55,229.02,503.85,229.22,506.65,55824216.0,23624884.0
2025-09-15,236.7,515.36,238.19,515.47,235.03,507.0,237.0,508.79,42699524.0,17143786.0
2025-09-16,238.15,509.04,241.22,517.23,236.3235,508.6,237.175,516.88,63421099.0,19711922.0
2025-09-17,238.99,510.02,240.1,511.29,237.7301,505.93,238.97,510.62,46508017.0,15816585.0
2025-09-18,237.88,508.45,241.2,513.07,236.65,507.66,239.97,511.49,44249576.0,18913696.0
2025-09-19,245.5,517.93,246.3,519.3,240.2106,510.31,241.225,510.56,163741314.0,52474093.0
2025-09-22,256.08,514.45,256.64,517.74,248.12,512.545,248.3,515.59,105517416.0,20009314.0
2025-09-23,254.43,509.23,257.34,514.5899,253.58,507.31,255.875,513.8,60275187.0,19799580.0
2025-09-24,252.31,510.15,255.74,512.48,251.04,506.92,255.22,510.38,42303710.0,13533711.0
2025-09-25,256.87,507.03,257.17,510.01,251.712,505.04,253.205,508.3,55202075.0,15786468.0
2025-09-26,255.46,511.46,257.6,513.94,253.78,506.62,254.095,510.06,46076258.0,16213129.0
2025-09-29,254.43,514.6,255.0,516.845,253.01,508.88,254.56,511.5,40127687.0,17617775.0
2025-09-30,254.63,517.95,255.919,518.16,253.11,509.66,254.855,513.24,37704259.0,19728229.0
2025-10-01,255.45,519.71,258.79,520.505,254.93,511.69,255.04,514.8,48713940.0,22632336.0
2025-10-02,257.13,515.74,258.18,521.6,254.15,510.6791,256.575,517.64,42630239.0,21222886.0
2025-10-03,258.02,517.35,259.24,520.49,253.95,515.0,254.665,517.1,49155614.0,15112321.0
2025-10-06,256.69,528.57,259.07,531.03,255.05,518.2,257.99,518.61,44664118.0,21388581.0
2025-10-07,256.48,523.98,257.4,529.8,255.43,521.44,256.805,528.285,31955776.0,14615208.0
2025-10-08,258.06,524.85,258.52,526.95,256.11,523.09,256.52,523.28,36496895.0,13363447.0
